x1,x2,x3,x4
-19.948397231490038,-19.948494364100533,-19.948532321464864,-19.948503842580568
-19.947087583198872,-19.946953300506642,-19.94716644776487,-19.947158018689233
-19.94519804731678,-19.94501749741371,-19.945111457214885,-19.94523791900452
-19.942955813982724,-19.942941434723334,-19.94287277112808,-19.943066596610823
-19.940621839203736,-19.94070511100413,-19.940912589429164,-19.94066390862055
-19.938501407512646,-19.938384216918386,-19.938560374248183,-19.93863650301744
-19.935985179763065,-19.936025159613276,-19.936100757428914,-19.936167341363703
-19.93403067417955,-19.93347517451779,-19.933741358892224,-19.933768883622594
-19.930986457731027,-19.930859304434797,-19.931140694382822,-19.93149088614488
-19.928162754242372,-19.928208902706594,-19.928445782899235,-19.928617930051686
-19.925969413740617,-19.925719294658716,-19.925628025285594,-19.92625201881672
-19.923325734665525,-19.923310775528712,-19.923448839333822,-19.92388422826423
-19.949856265878857,-19.949763927474745,-19.95003071128019,-19.949955085201907
-19.948011060587916,-19.947922826604987,-19.948003181637468,-19.948650462436433
-19.945773676684762,-19.945699751234223,-19.94599562077405,-19.94632572455368
-19.94351592265446,-19.94341796174677,-19.94399455362585,-19.943590968994233
-19.94097630917075,-19.940999209786924,-19.941150120839477,-19.941873225838222
-19.938697456245052,-19.938533693167958,-19.938721603362996,-19.938547387035747
-19.936196785692673,-19.935903784110817,-19.936012714253387,-19.936244057734953
-19.933252644266524,-19.933131557637985,-19.93353350252379,-19.93344497160914
-19.93048774158753,-19.93037570232324,-19.93047478106819,-19.93049177384236
-19.92772336116821,-19.927088874514038,-19.927206717773423,-19.928029339875653
-19.924125385868898,-19.92382129654128,-19.923861578092694,-19.924205528760172
-19.92078169332044,-19.92037619488713,-19.92009202158058,-19.920867910273245
-19.951816668577216,-19.951813017097074,-19.95275540698467,-19.952707966817307
-19.949460359853482,-19.9494629362836,-118.95082164501042,-19.95014422941444
-19.94707261765476,-19.946981889754188,-118.95157107626328,-19.947852851369493
-19.944564866551666,-19.944356813374736,-118.94927164012924,-19.944526695016457
-19.941681528955687,-19.94165098217101,-118.94690942419838,-19.9421632781177
-19.93898896286982,-19.938853159254524,-118.94798559137213,-19.938867246229144
-19.93597952048576,-19.935799531210325,-118.94877183681943,-19.936272766285608
-19.932656326413962,-19.93261693097102,-118.9480998591077,-19.933553890093133
-19.92927178452449,-19.92901289194525,-118.950438984756,-19.929258333712582
-19.9253454871995,-19.924818724163163,-118.94953719991405,-19.925052167151005
-19.920897166423657,-19.92022362178203,-118.94884898381316,-19.92316671798157
-19.916026485026972,-19.914393437471833,-0.9999999999999996,-19.91612637491156
-19.954101381944753,-118.9523271525311,-19.954299594817915,-19.954313936052223
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
