x1,x2,x3,x4
-19.935015274613583,-19.935046449789024,-19.93538839283585,-19.93531887985464
-19.933366000029846,-19.93317759915595,-19.933156951588423,-19.933549011686942
-19.930986457731027,-19.930817014088344,-19.930832334729097,-19.930894688470474
-19.928162754242372,-19.92805035669914,-19.928433117159745,-19.928423180582094
-19.92522351833602,-19.925279759714535,-19.92543961622682,-19.925340691451105
-19.922553202864094,-19.922346036544845,-19.922318095681764,-19.922609558197003
-19.9193844509921,-19.919075842552722,-19.919392507041508,-19.920023337130736
-19.91566437082993,-19.915704089584462,-19.91585412854028,-19.91611110269368
-19.912213760957197,-19.912230392325874,-19.912480381768358,-19.9122442068295
-19.909078858817896,-19.908738945312024,-19.909142543445558,-19.908701502355093
-19.905358801346452,-19.905235728091448,-19.90518985768443,-19.905579379594222
-19.90197910426226,-19.90200193606107,-19.902094337490446,-19.90254111919216
-19.937001038551102,-19.93700187095608,-19.93703370961194,-19.93714040563214
-19.93463900043611,-19.934512596247437,-19.93485789734799,-19.934465381852547
-19.93195829808907,-19.931761571433036,-19.931765269153264,-19.93175992998698
-19.928756877644624,-19.92864685464825,-19.929052723282524,-19.929157931026715
-19.92597625632745,-19.925530757402946,-19.925890219360802,-19.925910518026264
-19.922329971134246,-19.922300470502154,-19.92247976932937,-19.922745507375517
-19.919150705858417,-19.918789457970963,-19.9190968686161,-19.9200388406677
-19.91539088747209,-19.915002729952427,-19.915473288666885,-19.915408637806276
-19.9116855859695,-19.911281417377378,-19.911245796310748,-19.91193217660227
-19.907950630055687,-19.90709099919585,-19.90707772442465,-19.90777770837406
-19.902890370163465,-19.902586692612992,-19.902483582405164,-19.903460695918778
-19.89857657971999,-19.89718929629067,-19.89648077575092,-19.898111115617674
-19.939604587867592,-19.939572366888076,-19.941601694486348,-19.939894660117755
-19.936610681455704,-19.936520347367402,-118.94045473352804,-19.938848439152892
-19.93335750758458,-19.933255560901276,-118.9396212742883,-19.93442595811102
-19.930064471526798,-19.92988936917329,-118.93646274189129,-19.930405987398228
-19.92662754579999,-19.926357053730882,-118.94071783451979,-19.928196738098407
-19.922860090172353,-19.9226620774299,-118.9391703251016,-19.923496994239354
-19.919062820930684,-19.9184976904773,-118.93894104991868,-19.919181520580096
-19.914286940381142,-19.91427614895524,-118.9403964999914,-19.914568150902365
-19.909998464208073,-19.90965276790002,-118.9381382416209,-19.909742664780648
-19.904983550209256,-19.90420205899556,-118.93605929293771,-19.9059977186303
-19.899180610666665,-19.89652653943255,-118.941138403438,-19.90068704789593
-19.891082032613838,-19.887028235669494,-0.9999999999999996,-19.896845602281303
-19.942454290639358,-118.94197206839142,-19.942632538712584,-19.9431696537492
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
